Sender Name,46708275344@s.whatsapp.net,Bad Boy,Big Boss,Dadusko,Goldfinger,Goldfinger SOB,Goldy Finger,Gooooosssse,Goose,Goose System,Goose.4444,Jose Topgun,KakaoKalk,KakaoTalk,Maverick,Maverick SOB,Maverick.4444,Michael Jonson,Mike Jonson,Mike.Jonson,Rupert Beae,Telegram,Twi Grey,Twilight G,Twilight Grey,TwilightGrey,Unmatched Telegram User,blondtrip24,kikteam,ladyancy96,maverick,status@broadcast
46708275344@s.whatsapp.net,0.9999999999999953,0.79578850620421,0.7854926685447198,0.05447677019338763,0.69662365134238,0.20003747150637108,0.6959416387441077,0.5724685072099327,0.796834897683934,0.9113034653572996,0.6330310534335949,0.7822029177231736,0.08189208409913677,0.02370918070776476,0.9872233207292263,0.9004543021385822,0.7643309316174698,0.604581661873995,0.6375177531624537,0.643700012542496,0.7743872190960741,0.34790303419341767,0.4972852425772831,0.6059150970489035,0.6317349847792999,0.27420967184343287,0.5129633575372264,0.52629891522632,0.44985875253814567,0.4511052256736133,0.4152395631714376,0.49041444627368397
Bad Boy,0.79578850620421,0.9999999999999941,0.8336555840278654,0.040105123018643024,0.6545432927441505,0.2864909281745204,0.5637042944124516,0.6920910359871758,0.7553777858606616,0.8348326327652728,0.7005124685603205,0.6042508825937838,0.07545392571564488,0.03341698047447238,0.8346054198725364,0.8841452017158962,0.8246207022819219,0.35797282964929056,0.6137936404592784,0.7948469255817147,0.5830468722079692,0.3092869540286447,0.4363311979013555,0.677379934941256,0.6408166776213554,0.20782721485010627,0.4951645416570477,0.6507271550895778,0.4135140362548627,0.584132424932301,0.6113469305011575,0.19440455840413878
Big Boss,0.7854926685447198,0.8336555840278654,0.9999999999999973,0.06651137346795596,0.5726290755354181,0.23356934479525673,0.4948491107628946,0.6775092428922366,0.6874421797960448,0.7947613486582242,0.6380465426944895,0.6031116796312469,0.0856770704641333,0.010594920635269796,0.8172794722825966,0.8462555849272875,0.8083303458836156,0.3316619236432372,0.7033788805336493,0.7851499633718456,0.5481497075892113,0.3671382669051175,0.37944598164901755,0.6081039859927401,0.5837832855235868,0.2288881215963891,0.5971990419203281,0.581705822296088,0.45886908892411915,0.5317683146129069,0.48272944521354694,0.18166504595186636
Dadusko,0.05447677019338763,0.040105123018643024,0.06651137346795596,1.0000000000000002,0.06408002841028163,0.0,0.042255849644797984,0.08427498280790527,0.040013446777555535,0.061908797568415073,0.11605177063713189,0.05001705417592654,0.0,0.0,0.057155538612035275,0.06261580592446514,0.12619698950155983,0.06932363897188581,0.06302187238523516,0.06337761972642286,0.01712699580155941,0.1426696224432577,0.0,0.051948051948051945,0.03756682860961351,0.0,0.11962485741987161,0.056123808490065256,0.1305582419667734,0.046148043879957606,0.03424938726253708,0.0
Goldfinger,0.69662365134238,0.6545432927441505,0.5726290755354181,0.06408002841028163,1.000000000000007,0.2720376458140395,0.7352339904817482,0.44196409506692125,0.6478053398858428,0.6838377142707013,0.5987950931542071,0.6303779375997881,0.04082231244228088,0.03123531670651749,0.7086532775709848,0.6907898761605471,0.642147406408079,0.5088461619290736,0.3778906078815675,0.4975366705248027,0.5959782022871105,0.25945772077913726,0.5040875943199045,0.5855083738745166,0.6640330896333622,0.21129925228902802,0.3024831657801481,0.6081777936145535,0.37424693322137953,0.5282684848936364,0.4741433571730655,0.3740517629943043
Goldfinger SOB,0.20003747150637108,0.2864909281745204,0.23356934479525673,0.0,0.2720376458140395,1.0,0.1557186649660749,0.22360679774997896,0.27869013801301484,0.2798100699328768,0.28867513459481287,0.1583474471922258,0.0,0.0,0.22042264682185053,0.2523470060884139,0.23252670213838528,0.11496024978590211,0.06967330142916177,0.2552425957537368,0.17987875972258854,0.09741974254063751,0.05076730825668096,0.2369017707396714,0.09863776775716067,0.0,0.1487815378730536,0.27921242185096395,0.0,0.22958361953801432,0.3407771005482389,0.0
Goldy Finger,0.6959416387441077,0.5637042944124516,0.4948491107628946,0.042255849644797984,0.7352339904817482,0.1557186649660749,1.0000000000000007,0.33339912561989793,0.681130269219288,0.6737619112072281,0.5094572077707373,0.7693187760198549,0.040058296082943305,0.006357187876571513,0.7063862795967485,0.7108471824834067,0.5434933018655622,0.7178484104951698,0.34067221134509895,0.39792796295898314,0.7704356323738891,0.18572502740071642,0.581838725471954,0.5473138620659548,0.5702506137590113,0.25802889548422303,0.2052830745498052,0.4690856287885768,0.37984530049965276,0.38908411567246465,0.3670353731096397,0.6695902593541221
Gooooosssse,0.5724685072099327,0.6920910359871758,0.6775092428922366,0.08427498280790527,0.44196409506692125,0.22360679774997896,0.33339912561989793,1.0000000000000016,0.5222758876811348,0.606318943994975,0.5110186359579231,0.3920123334123795,0.03355471826207245,0.022821773229381923,0.5988492268200136,0.627306155896256,0.6733294387720316,0.1520932021620494,0.5413849777882254,0.6177418956119368,0.34612187095925095,0.33998157798356776,0.23839021982291242,0.5345441766672848,0.4730447747128587,0.19422464901683897,0.48441044365809727,0.48559618754974676,0.33888604279314904,0.4278038165062074,0.5397505397508096,0.0
Goose,0.796834897683934,0.7553777858606616,0.6874421797960448,0.040013446777555535,0.6478053398858428,0.27869013801301484,0.681130269219288,0.5222758876811348,0.9999999999999943,0.8129293395764867,0.6384993103266196,0.7348974587795952,0.058036742440060254,0.005417846305378637,0.8224548266016842,0.8491751326205517,0.6484918649545115,0.6219496202512043,0.49837639110529747,0.6188821952419956,0.7598718776493184,0.22052385213366063,0.4796963751884677,0.5910557709713201,0.5364217018317524,0.22699603015345768,0.3507383249799691,0.5195817484460779,0.34670512550735444,0.4448320395108664,0.5110355972253046,0.5042964402140269
Goose System,0.9113034653572996,0.8348326327652728,0.7947613486582242,0.061908797568415073,0.6838377142707013,0.2798100699328768,0.6737619112072281,0.606318943994975,0.8129293395764867,1.0000000000000027,0.6624647405949442,0.748926945819657,0.0731888531917147,0.03122888735811148,0.928643622701612,0.9168433111098158,0.79442772993829,0.5688242686178969,0.6112264725397646,0.7224758775126326,0.7582372243061186,0.33696973522806917,0.4717354100990246,0.6206487016732702,0.6291217000333477,0.25501331898125934,0.5075898538760986,0.547322289367812,0.40677659510215874,0.4864971599040465,0.4856822154664419,0.43481277054317546
